日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/05/01	540 南投市  	FJ3 番茄 牛番茄 	55.0 	46.0 	8.0 	45.8 	 + 36	179 	 - 51	8194.62
111/05/01	540 南投市  	FK5 甜椒 青椒 	30.0 	13.0 	3.0 	12.5 	 - 17	268 	 - 39	3358.04
111/05/01	540 南投市  	FN2 敏豆 青豆 	110.0 	47.0 	2.0 	46.3 	 - 10	155 	 + 37	7181.15
111/05/01	540 南投市  	LA1 甘藍 初秋 	35.0 	29.0 	25.0 	28.7 	 -  6	805 	 + 16	23063.25
111/05/01	540 南投市  	LH2 菠菜 角葉 	50.0 	48.0 	38.0 	47.5 	  -  	257 	  -  	12217.78
111/05/01	540 南投市  	OX1 其他  	70.0 	25.0 	2.0 	23.1 	 -  2	"1,438 "	 - 30	33246.56
111/05/01	540 南投市  	SG1 大蒜 硬梗 	22.0 	15.0 	3.0 	14.4 	 + 92	134 	 - 29	1925.58
111/05/01	540 南投市  	SQ3 茭白筍 去殼 	270.0 	212.0 	81.0 	211.1 	 + 10	78 	 + 26	16461.9
111/05/03	540 南投市  	FB2 花椰菜 白梗 	65.0 	42.0 	30.0 	41.3 	 -  8	223 	 + 32	9200.98
111/05/03	540 南投市  	FC1 胡瓜 黑刺 	12.0 	5.0 	1.0 	4.1 	 - 10	"1,082 "	 +  7	4457.84
111/05/03	540 南投市  	FD1 花胡瓜  	37.0 	29.0 	19.0 	28.2 	 + 71	255 	 - 18	7201.2
111/05/03	540 南投市  	FF1 絲瓜  	33.0 	32.5 	27.0 	32.2 	 +  4	206 	 + 91	6622.9
111/05/03	540 南投市  	FG1 苦瓜 白大米 	37.0 	25.0 	9.0 	24.4 	 - 27	804 	 +178	19609.56
111/05/03	540 南投市  	FH2 扁蒲 圓形 	20.0 	11.0 	10.0 	10.9 	 + 13	235 	 + 11	2568.55
111/05/03	540 南投市  	FI2 茄子 麻荸茄 	22.0 	12.0 	2.0 	11.7 	 + 10	503 	 -  4	5895.16
111/05/03	540 南投市  	FJ3 番茄 牛番茄 	60.0 	35.0 	18.0 	34.4 	 - 25	253 	 + 41	8693.08
111/05/03	540 南投市  	FN2 敏豆 青豆 	110.0 	50.0 	3.0 	48.8 	 +  5	121 	 - 22	5906.01
111/05/03	540 南投市  	LA1 甘藍 初秋 	35.0 	29.0 	21.0 	28.1 	 -  2	919 	 + 14	25796.33
111/05/03	540 南投市  	LH2 菠菜 角葉 	50.0 	45.0 	12.0 	44.7 	 -  6	204 	 - 21	9120.84
111/05/03	540 南投市  	OX1 其他  	50.0 	25.0 	5.0 	23.7 	 +  2	"1,407 "	 -  2	33317.76
111/05/03	540 南投市  	SG1 大蒜 硬梗 	25.0 	16.0 	4.5 	15.1 	 +  5	136 	 +  1	2059.04
111/05/03	540 南投市  	SQ3 茭白筍 去殼 	270.0 	184.0 	78.0 	182.7 	 - 13	49 	 - 37	8951.81
111/05/04	540 南投市  	FB2 花椰菜 白梗 	65.0 	33.0 	25.0 	32.3 	 - 22	352 	 + 58	11369.6
111/05/04	540 南投市  	FC1 胡瓜 黑刺 	9.0 	6.0 	2.0 	5.8 	 + 42	549 	 - 49	3206.16
111/05/04	540 南投市  	FD1 花胡瓜  	41.0 	28.0 	10.0 	27.2 	 -  4	276 	 +  8	7518.24
111/05/04	540 南投市  	FF1 絲瓜  	32.0 	30.0 	20.0 	29.5 	 -  8	245 	 + 19	7227.5
111/05/04	540 南投市  	FG1 苦瓜 白大米 	30.0 	27.0 	15.0 	26.0 	 +  7	390 	 - 51	10140
111/05/04	540 南投市  	FI2 茄子 麻荸茄 	21.0 	14.0 	7.5 	13.6 	 + 16	234 	 - 53	3184.74
111/05/04	540 南投市  	FJ3 番茄 牛番茄 	50.0 	41.0 	15.0 	40.6 	 + 18	215 	 - 15	8729
111/05/04	540 南投市  	FK5 甜椒 青椒 	15.0 	14.9 	14.0 	14.8 	  -  	149 	  -  	2209.67
111/05/04	540 南投市  	FN2 敏豆 青豆 	120.0 	27.0 	3.0 	26.9 	 - 45	136 	 + 12	3652.96
111/05/04	540 南投市  	LA1 甘藍 初秋 	38.0 	27.0 	16.0 	26.8 	 -  5	942 	 +  3	25217.34
111/05/04	540 南投市  	OX1 其他  	80.0 	27.0 	5.0 	25.2 	 +  7	"1,719 "	 + 22	43353.18
111/05/04	540 南投市  	SG1 大蒜 硬梗 	20.0 	19.0 	17.0 	18.8 	 + 24	145 	 +  7	2728.9
111/05/04	540 南投市  	SQ3 茭白筍 去殼 	270.0 	180.0 	62.0 	179.5 	 -  2	51 	 +  4	9152.97
111/05/05	540 南投市  	FB2 花椰菜 白梗 	65.0 	35.0 	25.0 	34.7 	 +  7	435 	 + 24	15098.85
111/05/05	540 南投市  	FD1 花胡瓜  	40.0 	29.0 	10.0 	28.2 	 +  3	325 	 + 18	9158.5
111/05/05	540 南投市  	FF1 絲瓜  	35.0 	33.0 	20.0 	32.2 	 +  9	132 	 - 46	4247.76
111/05/05	540 南投市  	FG1 苦瓜 白大米 	30.0 	20.0 	7.0 	19.1 	 - 27	417 	 +  7	7952.19
111/05/05	540 南投市  	FI2 茄子 麻荸茄 	23.0 	14.0 	1.0 	13.1 	 -  4	363 	 + 55	4762.56
111/05/05	540 南投市  	FJ3 番茄 牛番茄 	50.0 	36.0 	15.0 	35.4 	 - 13	255 	 + 19	9021.9
