日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/08	514 彰化市場	FE111 非洲菊 上海紅	25 	24 	18 	15 	19.0 	 - 10	390 	 - 28	0 	7410
112/04/08	514 彰化市場	FE113 非洲菊 萊星頓	15 	15 	15 	15 	15.0 	 - 35	30 	 - 67	0 	450
112/04/08	514 彰化市場	FE201 非洲菊 太陽神	27 	27 	21 	15 	21.0 	 - 36	115 	 -  4	0 	2415
112/04/08	514 彰化市場	FE205 非洲菊 哈利熊	23 	22 	17 	15 	18.0 	 - 10	210 	 - 13	0 	3780
112/04/08	514 彰化市場	FE302 非洲菊 金爵	19 	19 	18 	15 	18.0 	 - 22	300 	 + 11	30 	5400
112/04/08	514 彰化市場	FE401 非洲菊 伊斯瑪拉	29 	29 	26 	25 	26.0 	 - 16	150 	 + 67	0 	3900
112/04/08	514 彰化市場	FE415 非洲菊 粉美麗	24 	24 	24 	24 	24.0 	 - 27	38 	 + 90	0 	912
112/04/08	514 彰化市場	FE416 非洲菊 熱情粉	30 	30 	25 	18 	24.0 	 - 27	"1,110 "	 -  5	30 	26640
112/04/08	514 彰化市場	FE605 非洲菊 冰山	30 	30 	30 	30 	30.0 	 -  9	120 	 - 20	0 	3600
112/04/08	514 彰化市場	FE700 非洲菊 紫	18 	18 	17 	15 	17.0 	 - 15	120 	 - 33	0 	2040
112/04/08	514 彰化市場	FE703 非洲菊 法老王	16 	16 	16 	15 	16.0 	 - 11	60 	    0	0 	960
112/04/08	514 彰化市場	FE704 非洲菊 女王	26 	26 	26 	26 	26.0 	 + 18	30 	    0	0 	780
112/04/08	514 彰化市場	FG100 劍蘭 紅	58 	58 	56 	50 	55.0 	 - 25	144 	 +103	0 	7920
112/04/08	514 彰化市場	FG113 劍蘭 新種紅	43 	43 	43 	43 	43.0 	 + 13	20 	 - 92	0 	860
112/04/08	514 彰化市場	FG400 劍蘭 粉	50 	50 	50 	50 	50.0 	  -  	18 	  -  	0 	900
112/04/08	514 彰化市場	FG406 劍蘭 青殼粉	42 	42 	39 	36 	39.0 	 + 11	40 	 - 65	0 	1560
112/04/08	514 彰化市場	FG412 劍蘭 粉巨人	29 	29 	29 	29 	29.0 	  -  	20 	  -  	0 	580
112/04/08	514 彰化市場	FG600 劍蘭 白	27 	27 	26 	25 	26.0 	    0	36 	 - 36	0 	936
112/04/08	514 彰化市場	FH005 金鎚花 	19 	19 	19 	19 	19.0 	 + 27	40 	 - 65	0 	760
112/04/08	514 彰化市場	FH006 黃梔花 	90 	86 	69 	41 	67.0 	 - 11	940 	 + 10	0 	62980
112/04/08	514 彰化市場	FH008 洋甘菊 	66 	66 	66 	66 	66.0 	 +  8	21 	    0	0 	1386
112/04/08	514 彰化市場	FH057 水仙百合 紫	39 	39 	39 	39 	39.0 	  -  	25 	  -  	0 	975
112/04/08	514 彰化市場	FH101 天堂鳥 	30 	30 	26 	16 	24.0 	 - 23	192 	 - 38	0 	4608
112/04/08	514 彰化市場	FH112 小天堂鳥 桔帶紅	20 	20 	20 	20 	20.0 	 -  9	67 	 - 60	83 	1340
112/04/08	514 彰化市場	FH114 小天堂鳥 粉紅	24 	24 	24 	24 	24.0 	 + 14	24 	 +  4	0 	576
112/04/08	514 彰化市場	FH232 夜來香 重瓣	81 	81 	81 	81 	81.0 	  -  	8 	  -  	0 	648
112/04/08	514 彰化市場	FH240 麥桿菊 	52 	52 	52 	52 	52.0 	  -  	16 	  -  	0 	832
112/04/08	514 彰化市場	FH251 秀線 	61 	58 	34 	19 	36.0 	 -  5	270 	 - 25	0 	9720
112/04/08	514 彰化市場	FH293 向日葵 單瓣	63 	59 	52 	38 	50.0 	 - 14	252 	 +  9	0 	12600
112/04/08	514 彰化市場	FH361 金魚草 紅色	32 	32 	32 	32 	32.0 	 +100	21 	    0	0 	672
112/04/08	514 彰化市場	FH363 金魚草 黃色	23 	23 	23 	23 	23.0 	  -  	21 	  -  	0 	483
112/04/08	514 彰化市場	FH364 金魚草 粉色	26 	26 	20 	15 	20.0 	 - 13	84 	 - 17	0 	1680
112/04/08	514 彰化市場	FH366 金魚草 白色	27 	27 	27 	27 	27.0 	 + 42	21 	 - 85	0 	567
112/04/08	514 彰化市場	FH381 麒麟草 	37 	36 	29 	21 	29.0 	 - 34	"1,199 "	 + 23	0 	34771
112/04/08	514 彰化市場	FH640 睡蓮 	16 	16 	16 	16 	16.0 	 - 47	26 	 - 30	0 	416
112/04/08	514 彰化市場	FH661 伯利恆之星 	51 	34 	21 	15 	22.0 	 - 15	250 	 + 37	0 	5500
112/04/08	514 彰化市場	FH670 茉莉花 	30 	30 	30 	30 	30.0 	 + 15	30 	    0	0 	900
112/04/08	514 彰化市場	FH710 深山櫻 	25 	25 	25 	25 	25.0 	  -  	30 	  -  	0 	750
112/04/08	514 彰化市場	FL120 LA百合 橙	107 	107 	107 	107 	107.0 	  -  	20 	  -  	0 	2140
112/04/08	514 彰化市場	FL129 LA百合 橙多朵	118 	118 	117 	112 	116.0 	 +  6	48 	 - 25	0 	5568
112/04/08	514 彰化市場	FM142 重瓣百合 伊莎貝拉雙朵	101 	101 	92 	79 	91.0 	 - 25	88 	 + 26	0 	8008
112/04/08	514 彰化市場	FM143 重瓣百合 伊莎貝拉三朵	239 	192 	131 	123 	142.0 	 - 12	94 	 + 18	0 	13348
112/04/08	514 彰化市場	FM149 重瓣百合 伊莎貝拉多朵	231 	231 	197 	174 	199.0 	 + 17	36 	 + 50	0 	7164
112/04/08	514 彰化市場	FM210 重瓣百合 艾蓮娜	258 	258 	258 	258 	258.0 	  -  	9 	  -  	0 	2322
112/04/08	514 彰化市場	FM282 重瓣百合 莎曼莎雙朵	151 	151 	151 	151 	151.0 	 - 13	10 	    0	0 	1510
112/04/08	514 彰化市場	FM283 重瓣百合 莎曼莎三朵	218 	218 	218 	218 	218.0 	 + 11	7 	 - 59	0 	1526
112/04/08	514 彰化市場	FO003 腎藥蘭 曼谷火焰	19 	19 	18 	17 	18.0 	 + 50	160 	 - 45	0 	2880
112/04/08	514 彰化市場	FO007 千代蘭 	7 	7 	5 	5 	6.0 	 - 14	470 	 - 37	0 	2820
112/04/08	514 彰化市場	FO335 檸檬綠文心蘭 	185 	182 	156 	138 	158.0 	 + 45	275 	 - 54	0 	43450
112/04/08	514 彰化市場	FR000 玫瑰 	102 	100 	83 	43 	78.0 	 - 14	77 	 - 48	0 	6006
112/04/08	514 彰化市場	FR108 玫瑰 佳娜紅	73 	73 	69 	58 	67.0 	  -  	19 	  -  	0 	1273
112/04/08	514 彰化市場	FR116 玫瑰 翡翠紅	202 	202 	143 	62 	139.0 	 - 18	32 	 - 14	0 	4448
112/04/08	514 彰化市場	FR117 玫瑰 萬年紅	131 	131 	69 	31 	74.0 	 - 24	138 	 - 35	0 	10212
112/04/08	514 彰化市場	FR122 玫瑰 卡門	92 	92 	88 	47 	80.0 	 - 21	28 	 + 33	0 	2240
112/04/08	514 彰化市場	FR400 玫瑰 粉	183 	183 	154 	121 	153.0 	 -  8	26 	 + 30	0 	3978
112/04/08	514 彰化市場	FR436 玫瑰 翡翠粉	159 	157 	120 	31 	109.0 	 - 12	53 	 - 58	0 	5777
112/04/08	514 彰化市場	FR439 玫瑰 翡翠香檳	192 	187 	99 	42 	105.0 	 - 28	26 	 - 67	0 	2730
112/04/08	514 彰化市場	FR711 玫瑰 天堂紫	186 	186 	151 	128 	153.0 	 - 26	17 	 - 19	0 	2601
112/04/08	514 彰化市場	FR817 玫瑰 布魯士	180 	180 	167 	159 	168.0 	 -  5	9 	 - 31	0 	1512
112/04/08	514 彰化市場	FR910 玫瑰 迷你紅	62 	62 	62 	62 	62.0 	  -  	11 	  -  	0 	682
112/04/08	514 彰化市場	FS012 香水百合 紅雙朵	179 	179 	179 	179 	179.0 	 +  4	14 	    0	0 	2506
112/04/08	514 彰化市場	FS013 香水百合 紅三朵	243 	243 	243 	243 	243.0 	 - 14	24 	 - 33	0 	5832
112/04/08	514 彰化市場	FS019 香水百合 紅多朵	264 	264 	260 	250 	259.0 	 - 19	35 	 - 26	0 	9065
112/04/08	514 彰化市場	FS039 香水百合 黃多朵	188 	188 	188 	175 	185.0 	 +  5	57 	 -  8	0 	10545
112/04/08	514 彰化市場	FS060 香水百合 白	172 	172 	172 	172 	172.0 	 -  8	14 	 + 40	0 	2408
112/04/08	514 彰化市場	FS062 香水百合 白雙朵	198 	198 	168 	153 	171.0 	 - 12	30 	 - 39	0 	5130
112/04/08	514 彰化市場	FS063 香水百合 白三朵	233 	230 	207 	156 	202.0 	 - 23	65 	 -  4	0 	13130
112/04/08	514 彰化市場	FS069 香水百合 白多朵	234 	209 	175 	160 	179.0 	 - 33	108 	 + 44	0 	19332
112/04/08	514 彰化市場	FS472 水晶香水 雙朵	164 	164 	164 	164 	164.0 	 +  1	15 	 -  6	0 	2460
112/04/08	514 彰化市場	FS473 水晶香水 三朵	205 	205 	205 	205 	205.0 	 -  5	8 	 - 60	0 	1640
112/04/08	514 彰化市場	FS479 水晶香水 多朵	202 	202 	200 	199 	200.0 	 -  3	64 	 - 40	0 	12800
112/04/08	514 彰化市場	FS603 OT康卡多 三朵	189 	189 	189 	189 	189.0 	 + 24	12 	 +  9	0 	2268
112/04/08	514 彰化市場	FS609 OT康卡多 多朵	197 	197 	186 	182 	187.0 	 + 12	108 	 +116	0 	20196
112/04/08	514 彰化市場	FS630 OT曼尼薩 	113 	113 	104 	96 	104.0 	 - 32	42 	 + 14	0 	4368
112/04/08	514 彰化市場	FS631 OT曼尼薩 單朵	181 	181 	137 	80 	134.0 	 + 13	178 	 - 48	0 	23852
112/04/08	514 彰化市場	FS632 OT曼尼薩 雙朵	242 	226 	167 	102 	165.0 	 + 19	159 	 - 75	0 	26235
112/04/08	514 彰化市場	FS633 OT曼尼薩 三朵	311 	303 	215 	130 	216.0 	 +  9	148 	 - 59	0 	31968
112/04/08	514 彰化市場	FS639 OT曼尼薩 多朵	277 	277 	276 	162 	253.0 	 +  9	50 	 - 21	0 	12650
112/04/08	514 彰化市場	FS772 OT百合 節奏舞者二朵	157 	157 	147 	142 	148.0 	 -  6	55 	 + 90	0 	8140
112/04/08	514 彰化市場	FS773 OT百合 節奏舞者三朵	211 	211 	194 	182 	195.0 	 -  4	112 	 +  1	0 	21840
112/04/08	514 彰化市場	FS779 OT百合 節奏舞者多朵	219 	218 	207 	184 	204.0 	 -  7	451 	 - 16	0 	92004
112/04/08	514 彰化市場	FS859 OT瑪丹娜 多朵	165 	165 	165 	165 	165.0 	 +  8	20 	 - 33	0 	3300
112/04/08	514 彰化市場	FS870 OT大連 	267 	267 	267 	267 	267.0 	  -  	12 	  -  	0 	3204
112/04/08	514 彰化市場	FS871 OT大連 單朵	172 	169 	118 	61 	117.0 	 +  6	200 	 +120	0 	23400
112/04/08	514 彰化市場	FS872 OT大連 雙朵	179 	179 	154 	103 	149.0 	 -  8	164 	 + 66	0 	24436
112/04/08	514 彰化市場	FS873 OT大連 三朵	268 	268 	216 	143 	212.0 	 -  0	98 	 +172	0 	20776
112/04/08	514 彰化市場	FS879 OT大連 多朵	263 	262 	228 	201 	229.0 	 -  4	150 	 - 21	0 	34350
112/04/08	514 彰化市場	FS892 OT帕雷諾 雙朵	148 	148 	148 	148 	148.0 	 - 23	12 	 - 54	0 	1776
112/04/08	514 彰化市場	FS893 OT帕雷諾 三朵	232 	232 	232 	232 	232.0 	 - 12	11 	 - 54	0 	2552
112/04/08	514 彰化市場	FS899 OT帕雷諾 多朵	241 	241 	241 	241 	241.0 	 - 12	14 	 + 75	0 	3374
112/04/08	514 彰化市場	FS921 OT帕芳多 單朵	50 	50 	50 	50 	50.0 	 - 12	40 	    0	0 	2000
112/04/08	514 彰化市場	FS922 OT帕芳多 雙朵	101 	101 	92 	89 	93.0 	 - 12	45 	 + 50	0 	4185
112/04/08	514 彰化市場	FS960 OT試金石 	180 	180 	180 	180 	180.0 	  -  	17 	  -  	0 	3060
112/04/08	514 彰化市場	FS963 OT試金石 三朵	220 	220 	220 	220 	220.0 	  -  	30 	  -  	0 	6600
112/04/08	514 彰化市場	FS969 OT試金石 多朵	250 	250 	242 	241 	244.0 	 - 14	70 	 +218	0 	17080
112/04/08	514 彰化市場	FS970 OT紅福特 	202 	202 	143 	114 	149.0 	 -  1	36 	 + 71	0 	5364
112/04/08	514 彰化市場	FS971 OT紅福特 單朵	40 	40 	40 	40 	40.0 	 - 33	20 	 + 11	0 	800
112/04/08	514 彰化市場	FS972 OT紅福特 雙朵	98 	98 	95 	91 	95.0 	 -  8	33 	 + 10	0 	3135
112/04/08	514 彰化市場	FS973 OT紅福特 三朵	119 	119 	116 	111 	116.0 	 - 40	28 	 - 33	0 	3248
112/04/08	514 彰化市場	FS979 OT紅福特 多朵	264 	257 	218 	168 	216.0 	 -  5	188 	 - 12	0 	40608
112/04/08	514 彰化市場	FT061 鐵砲百合 白單朵	100 	100 	100 	100 	100.0 	 -  2	20 	 - 23	0 	2000
112/04/08	514 彰化市場	FT062 鐵砲百合 白雙朵	108 	108 	106 	105 	106.0 	 + 14	36 	 - 31	0 	3816
112/04/08	514 彰化市場	FT063 鐵砲百合 白三朵	108 	108 	105 	99 	104.0 	 -  6	28 	 - 55	0 	2912
112/04/08	514 彰化市場	FU000 洋桔梗 	122 	122 	102 	57 	97.0 	 +177	52 	 + 30	0 	5044
112/04/08	514 彰化市場	FU211 洋桔梗 單瓣白紅邊	172 	172 	172 	172 	172.0 	  -  	10 	  -  	0 	1720
112/04/08	514 彰化市場	FU402 洋桔梗 雙瓣(混色)	118 	118 	48 	22 	57.0 	 - 41	28 	 - 70	0 	1596
112/04/08	514 彰化市場	FU421 洋桔梗 小夏橘	170 	162 	21 	19 	49.0 	 - 60	65 	 + 30	0 	3185
112/04/08	514 彰化市場	FU441 洋桔梗 順風粉	71 	71 	63 	52 	62.0 	 - 45	70 	 + 40	0 	4340
112/04/08	514 彰化市場	FU442 洋桔梗 雙瓣粉	133 	133 	110 	104 	114.0 	 + 36	59 	 - 54	0 	6726
112/04/08	514 彰化市場	FU449 洋桔梗 艾瑞娜彩粉	201 	200 	163 	106 	159.0 	 -  3	63 	 +163	0 	10017
112/04/08	514 彰化市場	FU451 洋桔梗 順風杏粉	72 	72 	72 	72 	72.0 	 - 40	7 	 + 17	0 	504
112/04/08	514 彰化市場	FU457 洋桔梗 順風綠	170 	168 	137 	114 	138.0 	 -  1	51 	 + 38	0 	7038
112/04/08	514 彰化市場	FU462 洋桔梗 雙瓣白	142 	135 	91 	52 	92.0 	 - 38	141 	 +152	0 	12972
112/04/08	514 彰化市場	FU465 洋桔梗 名人華麗白	132 	132 	132 	132 	132.0 	 - 18	18 	 - 31	0 	2376
112/04/08	514 彰化市場	FU471 洋桔梗 重瓣淺紫	103 	103 	103 	103 	103.0 	 + 32	12 	 - 50	0 	1236
112/04/08	514 彰化市場	FU472 洋桔梗 重瓣紫	152 	152 	116 	80 	116.0 	 +158	20 	 - 71	0 	2320
112/04/08	514 彰化市場	FU480 洋桔梗 順風紫	172 	135 	55 	43 	68.0 	 - 36	62 	 +  9	0 	4216
112/04/08	514 彰化市場	FU562 洋桔梗 珍妮白	170 	170 	167 	163 	167.0 	 -  8	20 	 - 60	0 	3340
112/04/08	514 彰化市場	FU641 洋桔梗 女王３彩粉	170 	170 	153 	120 	150.0 	 + 16	43 	 - 23	0 	6450
112/04/08	514 彰化市場	FW140 星辰花 粉	58 	58 	58 	58 	58.0 	  -  	20 	  -  	0 	1160
112/04/08	514 彰化市場	FW170 星辰花 紫	52 	52 	43 	32 	42.0 	 -  2	93 	 +365	0 	3906
112/04/08	514 彰化市場	FW171 貝麗星辰 	57 	57 	57 	57 	57.0 	 +  8	36 	 - 10	0 	2052
112/04/08	514 彰化市場	FW240 粉孔雀 	31 	31 	30 	28 	30.0 	 - 21	100 	 - 56	0 	3000
112/04/08	514 彰化市場	FW271 紫孔雀 春天	22 	22 	22 	22 	22.0 	  -  	50 	  -  	0 	1100
112/04/08	514 彰化市場	FW471 卡斯比亞 帶葉	61 	61 	61 	61 	61.0 	 -  9	75 	    0	0 	4575
112/04/08	514 彰化市場	FW472 卡斯比亞 無葉	41 	41 	34 	27 	34.0 	 - 23	229 	 + 53	0 	7786
112/04/08	514 彰化市場	FW560 滿天星 白	41 	41 	33 	27 	33.0 	 - 38	106 	 - 11	0 	3498
112/04/08	514 彰化市場	FW562 滿天星 雪子	25 	25 	25 	25 	25.0 	 - 59	37 	 + 85	0 	925
112/04/08	514 彰化市場	FW568 滿天星 銀河	41 	41 	38 	34 	38.0 	 - 27	40 	 +100	0 	1520
112/04/08	514 彰化市場	FW640 水晶花 粉鑽	52 	52 	52 	52 	52.0 	  -  	40 	  -  	0 	2080
112/04/08	514 彰化市場	FY000 切葉類 	24 	24 	24 	24 	24.0 	 - 25	90 	 +260	0 	2160
112/04/08	514 彰化市場	FY001 尤加利葉 	100 	100 	100 	100 	100.0 	 +178	30 	 - 25	0 	3000
112/04/08	514 彰化市場	FY003 唐棉 	35 	35 	34 	28 	33.0 	 - 13	56 	 + 47	0 	1848
112/04/08	514 彰化市場	FY004 黃椰心葉 	152 	144 	90 	33 	90.0 	 - 13	784 	 - 24	0 	70560
112/04/08	514 彰化市場	FY009 電信蘭葉 	148 	141 	97 	50 	96.0 	 - 10	758 	 - 23	0 	72768
112/04/08	514 彰化市場	FY017 八角金盤 	56 	56 	55 	52 	55.0 	 - 20	165 	 +230	0 	9075
112/04/08	514 彰化市場	FY052 麻葉繡球<小手球> 	44 	44 	41 	37 	41.0 	 - 23	100 	    0	0 	4100
112/04/08	514 彰化市場	FY057 百合竹 	35 	32 	29 	25 	28.0 	 +  4	"1,111 "	 - 26	0 	31108
112/04/08	514 彰化市場	FY084 火龍果 	88 	88 	82 	78 	82.0 	 -  2	45 	 - 26	0 	3690
112/04/08	514 彰化市場	FY093 水燭葉 	15 	15 	11 	10 	11.0 	 -  8	625 	 - 25	35 	6875
112/04/08	514 彰化市場	FY991 青竹 	197 	197 	197 	197 	197.0 	 -  2	10 	 - 44	0 	1970
112/04/08	514 彰化市場	FY993 白竹 	133 	107 	79 	54 	80.0 	 - 14	848 	 + 17	0 	67840
112/04/08	514 彰化市場	IO519 進口石斛蘭 深紅	110 	109 	95 	87 	96.0 	 - 37	348 	 + 11	0 	33408
112/04/08	514 彰化市場	IW560 進口滿天星 白	140 	140 	136 	133 	136.0 	  -  	29 	  -  	0 	3944
112/04/08	514 彰化市場	IW580 滿天星 染色	128 	128 	126 	124 	126.0 	  -  	21 	  -  	0 	2646
