日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/07	514 彰化市場	FA860 康乃馨 多朵白	26 	26 	26 	26 	26.0 	  -  	30 	  -  	0 	780
112/04/07	514 彰化市場	FA870 康乃馨 多朵紫	16 	16 	16 	16 	16.0 	  -  	30 	  -  	0 	480
112/04/07	514 彰化市場	FA872 康乃馨 史波特	28 	28 	28 	28 	28.0 	 -  7	32 	 + 14	0 	896
112/04/07	514 彰化市場	FA881 康乃馨 多朵紅帶白	18 	18 	18 	18 	18.0 	  -  	30 	  -  	0 	540
112/04/07	514 彰化市場	FA884 康乃馨 多朵黃帶紅	25 	25 	25 	25 	25.0 	  -  	32 	  -  	0 	800
112/04/07	514 彰化市場	FA887 康乃馨 多朵白帶紫	23 	23 	23 	23 	23.0 	  -  	150 	  -  	0 	3450
112/04/07	514 彰化市場	FA985 繡球撫子 綠石竹	39 	39 	39 	39 	39.0 	 - 11	32 	 - 16	0 	1248
112/04/07	514 彰化市場	FA990 繡球撫子 紫白	60 	60 	60 	60 	60.0 	  -  	12 	  -  	0 	720
112/04/07	514 彰化市場	FB103 火鶴花 紅青心	10 	10 	8 	5 	8.0 	  -  	90 	  -  	0 	720
112/04/07	514 彰化市場	FB106 火鶴花 丘比特	18 	18 	10 	5 	11.0 	 + 10	197 	 +159	0 	2167
112/04/07	514 彰化市場	FB111 火鶴花 月光	14 	14 	14 	12 	13.0 	 + 30	264 	 - 35	0 	3432
112/04/07	514 彰化市場	FB113 火鶴花 紅鈴	16 	15 	12 	8 	12.0 	  -  	873 	  -  	0 	10476
112/04/07	514 彰化市場	FB400 火鶴花 粉色	11 	11 	9 	5 	9.0 	  -  	309 	  -  	0 	2781
112/04/07	514 彰化市場	FB407 火鶴花 夢幻	26 	20 	14 	8 	14.0 	  -  	"1,354 "	  -  	0 	18956
112/04/07	514 彰化市場	FB415 火鶴花 羅莎	23 	20 	13 	6 	13.0 	    0	"1,352 "	 +615	0 	17576
112/04/07	514 彰化市場	FB419 火鶴花 太極	19 	19 	15 	10 	14.0 	  -  	260 	  -  	0 	3640
112/04/07	514 彰化市場	FB420 火鶴花 小紅莓	7 	7 	7 	7 	7.0 	 - 46	45 	    0	0 	315
112/04/07	514 彰化市場	FB500 火鶴花 翠綠	26 	26 	26 	26 	26.0 	 + 86	30 	    0	0 	780
112/04/07	514 彰化市場	FC000 大菊 	50 	48 	31 	19 	32.0 	 - 46	198 	 +191	0 	6336
112/04/07	514 彰化市場	FC200 大菊 金	38 	38 	22 	16 	24.0 	 - 29	227 	 +999	0 	5448
112/04/07	514 彰化市場	FC206 大菊 金嗓	49 	49 	46 	33 	44.0 	 - 21	130 	 + 18	0 	5720
112/04/07	514 彰化市場	FC208 大菊 煙火桔	73 	73 	68 	53 	66.0 	  -  	48 	  -  	0 	3168
112/04/07	514 彰化市場	FC301 大菊 黃秀鳳	85 	85 	72 	54 	71.0 	 -  4	85 	 - 15	0 	6035
112/04/07	514 彰化市場	FC350 大菊 黃乒乓	62 	61 	56 	51 	56.0 	  -  	144 	  -  	0 	8064
112/04/07	514 彰化市場	FC411 大菊 羅莎諾粉綠	75 	75 	75 	75 	75.0 	  -  	16 	  -  	0 	1200
112/04/07	514 彰化市場	FC502 大菊 安娜深綠	84 	84 	79 	74 	79.0 	 +  8	40 	 +100	0 	3160
112/04/07	514 彰化市場	FC600 大菊 白	70 	70 	70 	70 	70.0 	  -  	60 	  -  	0 	4200
